Objects
100
,,Global Angle 111:111,,,,,,Global Angle 222:222,,,,,,Global Angle SIngleMarker:SIngleMarker,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
97,0,2.50173,1.69017,-1.67344,-263.058,132.058,715.346,-0.159635,0.318285,-1.34514,-270.462,98.5722,827.93,-0.176997,1.586,0.16366,-206.693,125.073,709.021
98,0,2.49975,1.69165,-1.67554,-263.082,132.03,715.274,-0.163614,0.318212,-1.34543,-270.532,98.6113,827.981,-0.177333,1.58605,0.163587,-206.738,125.061,708.946
99,0,2.49991,1.69409,-1.67413,-263.112,132.035,715.245,-0.16292,0.318609,-1.34569,-270.525,98.6238,827.946,-0.17717,1.58672,0.163614,-206.78,125.061,708.897
100,0,2.49794,1.69254,-1.67529,-263.202,132.037,715.213,-0.164179,0.318894,-1.34538,-270.528,98.6261,827.936,-0.177094,1.5871,0.163601,-206.838,125.076,708.843
101,0,2.50016,1.69309,-1.67565,-263.243,132.083,715.177,-0.163668,0.319353,-1.34549,-270.54,98.6465,827.894,-0.17634,1.58769,0.163558,-206.891,125.093,708.786
102,0,2.49534,1.69101,-1.67907,-263.316,132.065,715.148,-0.164983,0.319416,-1.34493,-270.543,98.6802,827.889,-0.176896,1.58759,0.16352,-206.922,125.128,708.751
103,0,2.49625,1.69251,-1.67728,-263.304,132.091,715.149,-0.165166,0.31921,-1.34476,-270.557,98.7214,827.902,-0.17771,1.58757,0.163613,-206.94,125.158,708.76
104,0,2.48069,1.68525,-1.6829,-263.524,132.014,715.129,-0.165077,0.31868,-1.34469,-270.584,98.7444,827.938,-0.17784,1.58709,0.163529,-206.928,125.167,708.824
105,0,2.4987,1.69403,-1.67475,-263.214,132.123,715.216,-0.164932,0.317987,-1.34472,-270.606,98.7718,827.978,-0.17805,1.58648,0.163328,-206.881,125.181,708.895
106,0,2.49945,1.69262,-1.67445,-263.184,132.122,715.323,-0.164562,0.317606,-1.34478,-270.61,98.7818,828.045,-0.178167,1.58604,0.163167,-206.821,125.175,708.986
107,0,2.50101,1.69347,-1.6733,-263.122,132.136,715.396,-0.163227,0.317413,-1.34511,-270.613,98.7918,828.098,-0.178414,1.58601,0.163086,-206.779,125.176,709.074
108,0,2.50102,1.6922,-1.67366,-263.126,132.119,715.443,-0.163223,0.317412,-1.34528,-270.61,98.7919,828.13,-0.178088,1.58596,0.163109,-206.754,125.174,709.115
109,0,2.58999,1.69182,-1.54022,-262.571,133.496,714.699,-0.163323,0.317533,-1.34521,-270.597,98.7947,828.176,-0.178014,1.58643,0.163101,-206.752,125.185,709.154
110,0,2.58816,1.6926,-1.53967,-262.631,133.479,714.779,-0.163261,0.317769,-1.34516,-270.602,98.8155,828.214,-0.178012,1.5863,0.163089,-206.764,125.205,709.188
111,0,2.58754,1.69212,-1.54041,-262.672,133.447,714.809,-0.163372,0.317904,-1.34505,-270.618,98.8236,828.246,-0.177788,1.58625,0.163325,-206.787,125.221,709.227
112,0,2.58801,1.6932,-1.53936,-262.64,133.491,714.774,-0.159758,0.317837,-1.34472,-270.574,98.8048,828.156,-0.178268,1.58619,0.163606,-206.793,125.251,709.243
